breed_name,temperment,image,description,akc_rank,height,height_group,weight,weight_group,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Poodle (Toy),"Agile, Intelligent, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/01104119/Toy-Poodle-on-White-02.jpg,"Despite his diminutive size, the Toy Poodle stands proudly among dogdom’s true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.",Ranks 7 of 197,10 inches,xsmall,4-6 pounds,featherweight,10-18 years,Toy Group,100%,20%,60%,100%,80%,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe Au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']"
Tibetan Spaniel,"Playful, Bright, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28170708/Tibetan-Spaniel-laying-down-outdoors.jpg,"The frisky and curious Tibetan Spaniel was bred ages ago for sentinel work on the walls of Tibetan monasteries. Known for a flat, silky coat and “lion’s mane” around the neck, the Tibetan Spaniel forms a tight, worshipful bond with their humans.",Ranks 119 of 197,10 inches,xsmall,9-15 pounds,featherweight,12-15 years,Non-Sporting Group,40%,60%,40%,60%,60%,"['Black', 'Black & Tan', 'Cream', 'Gold', 'Red', 'Sable', 'Silver Sable', 'White']"
Norwich Terrier,"Affectionate, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11234249/Norwich-Terrier-standing-outdoors.jpg,"Norwich Terriers are plucky little earthdogs named for their hometown in England. The old cliché “a big dog in a small package” was coined for breeds like the Norwich, who can be oblivious to the fact that they are just 10 inches tall.",Ranks 108 of 197,10 inches,xsmall,12 pounds,featherweight,12-15 years,Terrier Group,40%,60%,80%,60%,80%,"['Black & Tan', 'Grizzle', 'Red', 'Wheaton']"
West Highland White Terrier,"Loyal, Happy, Entertaining",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30142244/West-Highland-White-Terrier-laying-down-in-the-grass.jpg,"Smart, confident, and always entertaining at play, the adorable West Highland White Terrier (Westie, for short) has charmed owners for over 300 years. This diminutive but sturdy earthdog is among the most popular of the small terriers.",Ranks 42 of 197,10 inches,xsmall,15-20 pounds,lightweight,13-15 years,Terrier Group,80%,60%,60%,60%,80%,['White']
Scottish Terrier,"Confident, Independent, Spirited",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224538/Scottish-Terrier-On-White-02.jpg,"A solidly compact dog of vivid personality, the Scottish Terrier is an independent, confident companion of high spirits. Scotties have a dignified, almost-human character. Their terrier persistence has earned the breed the nickname “the Diehard.”",Ranks 57 of 197,10 inches,xsmall,18-21 pounds,lightweight,12 years,Terrier Group,60%,40%,60%,40%,60%,"['Black', 'Black Brindle', 'Brindle', 'Red Brindle', 'Silver Brindle', 'Wheaten']"
Lhasa Apso,"Confident, Smart, Comical",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231104/Lhasa-Apso-On-White-01.jpg,"The lavishly coated Lhasa Apso is a thousand-year-old breed who served as sentinels at palaces and monasteries isolated high in the Himalayas. Smart, confident, and complex, Lhasas are family comedians but regally aloof with strangers.",Ranks 71 of 197,10-11 inches,xsmall,12-18 pounds,featherweight,12-15 years,Non-Sporting Group,60%,20%,60%,40%,40%,"['Black', 'Black & Tan', 'Cream', 'Golden', 'Grizzle', 'Red', 'Red Gold', 'White', 'Blue', 'Charcoal', 'Gray', 'Liver', 'Silver']"
Australian Terrier,"Affectionate, Courageous, Spirited",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29112347/Australian-Terrier-on-White-011.jpg,"The diminutive Australian Terrier is plucky, spirited, and smart—how did they fit so much dog into such a bitty package? Upbeat and lively, the self-assured Aussie approaches life with plenty of the old-time terrier curiosity and grit.",Ranks 140 of 197,10-11 inches,xsmall,15-20 pounds,lightweight,11-15 years,Terrier Group,40%,20%,80%,60%,80%,"['Blue & Tan', 'Red', 'Sandy', 'Black', 'Black & Red', 'Black & Tan', 'Blue', 'Blue & Black', 'Blue Black & Tan', 'Brindle', 'Red & Black', 'Red & Tan', 'Red & White', 'Sable']"
Bolognese,"Playful, Easy-Going, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07171038/AdobeStock_71665389.jpg,"A small companion breed originating in Italy, the Bolognese is a calm, faithful dog with a long, fluffy pure-white coat. They are very playful, easy-going and love people.",,10-12 inches,xsmall,5.5-9 pounds,featherweight,12-14 years,Foundation Stock Service,60%,20%,40%,60%,80%,['White']
Russell Terrier,"Alert, Inquisitive, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224927/Russell-Terrier-On-White-03.jpg,"Upbeat, lively, inquisitive, and friendly, the jaunty Russell Terrier was developed by England's ""Sporting Parson"" for use in foxhunts. The adorable Russell Terrier looks like a plush toy come to life but is an eager, tireless working terrier.",Ranks 82 of 197,10-12 inches,xsmall,9-15 pounds,featherweight,12-14 years,Terrier Group,40%,40%,100%,60%,80%,['White']
Lancashire Heeler,"Affectionate, Versatile, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30165210/Lancashire-heeler.1.jpg,"The Lancashire Heeler is a medium to high energy dog. Intelligent, alert and friendly, they are quick to learn new tasks. A sturdy little dog with a short, weather-resistant coat of black and tan or liver and tan, they are affectionate with their owners, always happy, talkative, and always ready for a walk. Their small size is what gives them their charm.",,10-12 inches,xsmall,9-17 pounds,featherweight,12-15 years,Miscellaneous Class,20%,60%,80%,80%,80%,"['Black & Tan', 'Liver & Tan']"
