breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Affenpinscher,"Confident, Famously Funny, Fearless",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30174107/Affenpinscher-copy.jpg,"The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.",Ranks 148 of 197,9-11.5 inches,7-10 pounds,12-15 years,Toy Group,60%,60%,60%,80%,100%,"['Belge', 'Black', 'Black & Silver', 'Black & Tan', 'Red']"
Afghan Hound,"Dignified, Profoundly Loyal, Aristocratic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26151212/Afghan-Hound-standing-in-a-garden.jpg,"The Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, he is known for his profound loyalty, sensitive nature, and absolute love for those he calls his own.",Ranks 113 of 197,25-27 inches,50-60 pounds,12-15 years,Hound Group,80%,20%,80%,20%,20%,"['Black', 'Black & Silver', 'Black & Tan', 'Blue', 'Blue & Cream', 'Cream', 'Red', 'Silver', 'White']"
Airedale Terrier,"Friendly, Clever, Courageous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30202205/Airedale-Terrier-standing-stacked-outdoors.jpg,"His size, strength, and unflagging spirit have earned the Airedale Terrier the nickname “The King of Terriers.” The Airedale stands among the world’s most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.",Ranks 60 of 197,23 inches,50-70 pounds,11-14 years,Terrier Group,60%,40%,60%,100%,80%,"['Black & Tan', 'Grizzle & Tan']"
Akita,"Courageous, Dignified, Profoundly Loyal",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001904/Akita-On-White-01.jpg,"Akitas are muscular, double-coated dogs of ancient Japanese lineage famous for their dignity, courage, and loyalty. In their native land, they are venerated as family protectors and symbols of good health, happiness, and long life.",Ranks 47 of 197,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,Working Group,80%,60%,80%,100%,60%,"['Black', 'Brown Brindle', 'Brown, Black Overlay', 'Fawn', 'Fawn, Black Overlay', 'Red', 'Red, Black Overlay', 'Silver, Black Overlay', 'White', 'Black Brindle', 'Black, Brown Undercoat', 'Black, Fawn Undercoat', 'Black, Red Undercoat', 'Black, Silver Undercoat', 'Brown', 'Fawn Brindle', 'Red Brindle', 'Silver', 'Silver Brindle', 'White, Red Shading']"
Alaskan Malamute,"Affectionate, Loyal, Playful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001815/Alaskan-Malamute-On-White-03.jpg,"An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.",Ranks 58 of 197,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Working Group,60%,60%,80%,40%,80%,"['Agouti & White', 'Black & White', 'Blue & White', 'Gray & White', 'Red & White', 'Sable & White', 'Seal & White', 'Silver & White', 'White']"
American Bulldog,"Loyal, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/01/14144341/American-Bulldog-standing-in-three-quarter-view.jpg,"American Bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. Historically, they were bred to be a utility dog used for working the farm.",NA,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years,Foundation Stock Service,20%,60%,80%,60%,60%,"['White', 'White & Black', 'White & Brindle', 'White & Brown', 'White & Tan']"
American English Coonhound,"Sweet, Mellow, Sociable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001745/American-English-Coonhound-On-White-03.jpg,"These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.",Ranks 175 of 197,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,Hound Group,20%,40%,80%,60%,60%,"['Black', 'Black & Tan', 'Blue', 'Brown', 'Red', 'Red & White', 'Tri-Colored', 'White & Tan']"
American Eskimo Dog,"Playful, Perky, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001724/American-Eskimo-Dog-On-White-01.jpg,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.",Ranks 122 of 197,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,Non-Sporting Group,40%,60%,80%,100%,100%,"['White', 'White & Biscuit']"
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001630/American-Foxhound-On-White-03.jpg,"American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the estates of old Virginia.",Ranks 186 of 197,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,Hound Group,20%,60%,80%,40%,80%,"['Black White & Tan', 'White Black & Tan', 'Black Brown & White', 'Blue', 'Brown White & Tan', 'Red', 'Tan', 'White', 'White & Cream', 'White & Red']"
American Hairless Terrier,"Energetic, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18232608/American-Hairless-Terrier-standing-in-the-grass-on-lead.jpg,"The American Hairless Terrier, a Louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. He is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.",Ranks 136 of 197,12-16 inches,12-16 pounds,14-16 years,Terrier Group,Missing 'Care' Scales for 'American Hairless Terrier',Missing 'Care' Scales for 'American Hairless Terrier',Missing 'Care' Scales for 'American Hairless Terrier',Missing 'Care' Scales for 'American Hairless Terrier',Missing 'Care' Scales for 'American Hairless Terrier',"['Apricot', 'Black', 'Black Sable Red', 'Blue', 'Blue Fawn', 'Chocolate', 'Lemon', 'Lilac Dilute', 'Red', 'Red Sable', 'Seal', 'White & Apricot', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Chocolate', 'White & Lemon', 'White & Red', 'White Black & Red', 'Black & Tan', 'Black Brindle', 'Black Brindle & White', 'Black Tan & White', 'Blue & Tan', 'Blue Brindle', 'Blue Brindle & White', 'Blue Fawn & White', 'Blue Tan & White', 'Chocolate & Tan', 'Chocolate Brindle', 'Lemon & White', 'Red & Tan', 'Red & White', 'Red Brindle', 'Red Brindle & White']"
